folder_a,folder_b,unique_a,unique_b,common,ratio_min,jaccard,files_a,files_b
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe,1005,964,964,1.0000,0.9592,1278,1236
Paczka II sem. 21_22/Układy Cyfrowe/gotowce,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce,932,899,899,1.0000,0.9646,1217,1171
Paczka II sem. 21_22/Układy Cyfrowe/gotowce,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce,932,872,872,1.0000,0.9356,1217,1143
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce,899,872,872,1.0000,0.9700,1171,1143
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA,848,818,818,1.0000,0.9646,1131,1088
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA,848,796,796,1.0000,0.9387,1131,1065
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA,818,796,796,1.0000,0.9731,1088,1065
Paczki INFA/Paczka 3 sem. 23_24/(FW) Fizyka współczesna,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Fizyka Współczesna,384,337,337,1.0000,0.8776,388,341
Paczki INFA/Paczka 2 sem. 23_24/Algorytmy i Struktury Danych,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii,331,3367,331,1.0000,0.0983,350,3938
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone,286,266,266,1.0000,0.9301,289,269
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone,286,262,262,1.0000,0.9161,289,265
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone,266,262,262,1.0000,0.9850,269,265
Paczki INFA/Paczka 3 sem. 23_24/(JPR) Języki programowania,Paczki Infa/3 SEM/(JP) Języki Programowania,259,238,238,1.0000,0.9189,339,280
Paczki Infa/3 SEM/(GK) Grafika Komputerowa/Wykład,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Grafika Komputerowa/Wykład,238,237,237,1.0000,0.9958,238,237
Paczki Infa/4 SEM/(MN) Metody Numeryczne/Stara Paczka/Lab,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Metody Numeryczne/Lab,237,240,237,1.0000,0.9875,283,287
Paczki Infa/3 SEM/(GK) Grafika Komputerowa/Wykład,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Grafika Komputerowa/Wykład,238,236,236,1.0000,0.9916,238,241
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Grafika Komputerowa/Wykład,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Grafika Komputerowa/Wykład,236,237,236,1.0000,0.9958,241,237
Paczka II sem. 21_22/Programowanie Obiektowe/python,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/python,233,223,223,1.0000,0.9571,237,227
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6,242,222,222,1.0000,0.9174,245,225
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6,242,218,218,1.0000,0.9008,245,221
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6,222,218,218,1.0000,0.9820,225,221
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6,235,217,217,1.0000,0.9234,238,219
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6,235,216,216,1.0000,0.9191,238,218
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6,217,216,216,1.0000,0.9954,219,218
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW,232,214,214,1.0000,0.9224,235,216
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW,232,213,213,1.0000,0.9181,235,215
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW,214,213,213,1.0000,0.9953,216,215
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,227,207,207,1.0000,0.9119,230,210
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,227,206,206,1.0000,0.9075,230,209
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,207,206,206,1.0000,0.9952,210,209
Paczki INFA/Paczka 3 sem. 23_24/(FW) Fizyka współczesna/Laby,Paczki Infa/3 SEM/(FW) Fizyka Współczesna/Laby,210,199,199,1.0000,0.9476,214,203
